ID	Sent_1	Sent_2	Sent_3	Sent_4	Sent_5	Sent_6	Sent_7	Answer_1	Answer_2	Answer_3	Answer_4	Answer_5	Answer_6	Answer_7	Answer_7	Answer_8	Answer_9	Answer_label_1	Answer_label_2	Answer_label_3	Answer_label_4	Answer_label_5	Answer_label_6	Answer_label_7	Answer_label_8	Answer_label_9	Answer_value_1	Answer_value_2	Answer_value_3	Answer_value_4	Answer_value_5	Answer_value_6	Answer_value_7	Answer_value_8	Answer_value_9	Sent_template_1	Sent_template_2	Sent_template_3	Sent_template_4
63	The author strews the story with humor.	The powder was brushed by the students.	Regular air was pumped into the engine by me.	Wires were strung over it.	The stove was splattered by burgers.	It was swashed with paint by archaeologists.	Soup was sprinkled with the mustard.	Christian wraps it around his neck.	The farmers were basted vinegar over the vegetables.	I strung the ribbon the windows.	Grandma will hang with flowers on the ceiling.	The angels strung these lights for illumination.	The pancakes splatter the stuffing under here.	The chemicals swash the volunteers over the sink.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA4 PNounB2	NounBPass5 VerbPass PSubj5	NounBPass3 VerbPass PNounA5 PSubj3	NounBPass1 VerbPass PNounA4
64	Farmers have to squirt everything with butter.	The poison was spattered by the dog.	The chain was wrapped around the box by Christian.	The cheese was basted over it.	The planet was scattered by the wizard.	The screen was rubbed with pencil by the developers.	The center was sticked with the seeds.	I sprayed some of the paint into the windshield.	The author was showered the facts onto people.	Flanagan strews sarcasm the story.	The ladies drizzle with coffee over the filling.	The farmers like to baste the sauce of tomatoes.	The editors smudge garbage under the paper.	Paint smeared my child all over the table.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA2 PNounB4	NounBPass1 VerbPass PSubj1	NounBPass3 VerbPass PNounA2 PSubj3	NounBPass5 VerbPass PNounA3
65	The author strews the book with satire.	The seeds were sticked by the operator.	Coffee was drizzled over the cream by the waiter.	Silk was strung over the windows.	Figures were strewed by the author.	The paper was smudged with blotches of ink by them.	It was basted with wine.	I sprayed some water into the windshield.	The guards were sewed the fabric onto the sheets.	The waitress sprinkle the mustard the beans.	The villagers spritz with the sauce over the fish.	Katrina sprayed some water from rivers.	The wizard scatters the creatures under the planet.	It brushed me over the carpet.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA3 PNounB4	NounBPass2 VerbPass PSubj2	NounBPass2 VerbPass PNounA1 PSubj2	NounBPass2 VerbPass PNounA2
66	The man smeared the room with paint.	Bandages were wrapped by Logan.	The pad was rubbed on the pages by the designers.	The stuffing was splattered all over the cooktop.	It was basted by locals.	The soil was sown with the grain by the monks.	Yellow plastic cups was brushed with the powder.	Alex just sticks the OEM drive in a box.	The bartender was splashed the juice all over the table.	Burgers on a flat cast iron pan still splatter the grease here.	Use the rolled up package to spread with the eggs all over the pastry.	It spurts the stench of garbage.	Somebody spatters dirt under the floor.	Plenty of historical backstory strews Flanagan in the book.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA4 PNounB2	NounBPass5 VerbPass PSubj5	NounBPass1 VerbPass PNounA2 PSubj1	NounBPass4 VerbPass PNounA5
67	Whoever spatters the pavement with the poison.	The stuffing was splattered by the tomatoes.	The fabric was sewed onto canvas by the guards.	It was hung on the ceiling.	The surface was splattered by burgers.	The carpet was sewed with cloth by the blacksmith.	The cart was loaded with clothes.	The band plastered the title on the site.	The manifacturer was sticked the food in the fridge.	Contestants have to squirt the glue the inside.	Someone wraps with bandages around the body.	Whoever spatters whatever was on the wheel of the car.	Flanagan strews satire under the story.	Fingertips rub users on the writing marks.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA2 PNounB4	NounBPass1 VerbPass PSubj1	NounBPass5 VerbPass PNounA3 PSubj5	NounBPass1 VerbPass PNounA1
68	The narrator showers the reader with enthusiasm.	Low fat oil was spritzed by me.	The chemicals were swashed over the biomedia by the volunteers.	Fine oil was splattered all over here.	Earth was scattered by chaos.	The potatoes were spritzed with vinegar by the fishermen.	It was sown with the vines.	I can can load the tools in the box.	Visitors were loaded packages in the luggage.	Scientists clean the filter monthly and swash paint the counter.	You have to squirt with the eggs in the inside.	The guards sewed ropes of silk.	He wraps it under the perimeter.	The facts showers The author onto the reader.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA4 PNounB3	NounBPass3 VerbPass PSubj3	NounBPass5 VerbPass PNounA4 PSubj5	NounBPass5 VerbPass PNounA5
69	The chefs sprinkle the noodles with salt.	The eggs were spread by some.	The chain was wrapped around the body by Christian.	The crystals were scattered all over the dragon world.	Bags were loaded by the customer.	The pastry was spread with honey by the students.	The dessert was spread with the eggs.	I brushed mascara over the surface.	The chefs were sprinkled the powder over the bacon.	I strung wires the fireplace.	Visitors can can load with supplies in the cart.	The artist will will hang it with ease.	You simply rub the pad under something.	Some of the paint sprayed me into the windshield.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA1 PNounB5	NounBPass5 VerbPass PSubj5	NounBPass2 VerbPass PNounA2 PSubj2	NounBPass3 VerbPass PNounA4
70	The man smeared the floor with the chocolate.	It was pumped by Noah.	Saliva was smeared all over the walls by the cat.	Flowers were hung on canvas.	The earth was seeded by Lewitt and Dubner.	The room was spurted with the dust by the breeze.	The pastry was spread with the eggs.	The manifacturer just sticks the stuff in the center.	Someone was wrapped rope around the body.	The hostess will splash the coffee the table.	The artist will will hang with the picture on canvas.	The peppers splatter the stuffing of the egg.	We like to baste different types of marinades under potatoes.	Water squirt customers in here.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA4 PNounB1	NounBPass3 VerbPass PSubj3	NounBPass1 VerbPass PNounA2 PSubj1	NounBPass3 VerbPass PNounA3
71	It spatters the floor with the poison.	Satire was strewed by Homer.	Acid was swabbed over the bulbs by Mary.	Cloth was sewed onto the boards.	It was splattered by the noodles.	The tire back up was pumped with the gas by the mechanic.	The sponge was squirted with butter.	The waitress brushed the ink over the carpet.	The designers were rubbed the pad on the writing marks.	You will splash milk the kitchen.	The cooks spritz with the sauce over noodles.	The peppers splatter water with gas.	Sprinkle salt under the bacon.	Some of the material sprayed the crew into a plastic container.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA5 PNounB3	NounBPass4 VerbPass PSubj4	NounBPass5 VerbPass PNounA3 PSubj5	NounBPass2 VerbPass PNounA1
72	The author showers the students with excellent information.	The liquid was swabbed by the phyisician.	Dirt was spattered over the pavement by whoever.	The seeds were sown on the earth.	It was swashed by the volunteers.	The place was spurted with the dust by the breeze.	The center was sticked with the food.	Guests use the rolled up package to spread the mixture all over the pastry.	I was swabbed rubbing alcohol over the bulbs.	It spurts the green liquid the floor.	The editors smudge with suspiscion on the words.	I pumped the gas from Russia.	The guards sewed heavier material under the sheets.	Butter squirt contestants in the pot.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA1 PNounB3	NounBPass3 VerbPass PSubj3	NounBPass5 VerbPass PNounA2 PSubj5	NounBPass1 VerbPass PNounA2
73	The bartender brushed yellow plastic cups with it.	The grease was splattered by the noodles.	A little hot pepper was sprinkled over eggs by you.	The heat was pumped into the pipes.	Cd was plastered by the quartet.	Poles were sewed with cloth by the blacksmith.	They were smeared with ink.	The wizard scatters the creatures all over the planet.	The soldiers were sewed the leaves onto the carpet.	The artist plastered a big label the vinyls.	I strung with the ribbon over it.	Alex just sticks the seeds of wheat.	The editors smudge blotches of ink under the pages.	Gems scatters an evil creature called Gnasty Gnorc all over earth.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA1 PNounB2	NounBPass5 VerbPass PSubj5	NounBPass1 VerbPass PNounA2 PSubj1	NounBPass3 VerbPass PNounA2
74	The artist smeared the table with the flour.	Bandages were wrapped by Logan.	The powder was smeared all over the paper by the machine.	Fine oil was splattered all over the surface.	The box was wrapped by him.	The vegetables were basted with the vinegar by the farmers.	The mug was swabbed with the oil.	Visitors can can load packages in the luggage.	The crew was sprayed some of the material into a plastic container.	The waitress brushed the powder the glass.	He wraps with the chain around the waist.	The developers promote a strategy to seed sulfur of volcanic origin.	I sprayed some of the paint under the wall.	The ribbon strung the priest over the windows.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB2	NounBPass3 VerbPass PSubj3	NounBPass3 VerbPass PNounA1 PSubj3	NounBPass3 VerbPass PNounA3
75	We like to baste it with the sauce.	The powder was brushed by the students.	The yummy almond butter was spread all over bread by you.	It was wrapped around the perimeter.	It was sown by farmers.	Your counter was splashed with milk by someone.	The truck was sticked with the stuff.	The villagers spritz vinegar the soup.	The waitress was brushed the liquid over the surface.	The authors simply rub the eraser the writing marks.	The crew sprayed with some of the paint into the windshield.	Merlin scatters gems of the seas.	The noodles splatter the grease under the cooktop.	Butter spread guests all over the dessert.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA2 PNounB2	NounBPass3 VerbPass PSubj3	NounBPass2 VerbPass PNounA4 PSubj2	NounBPass3 VerbPass PNounA3
76	The chefs sprinkle soup with salt.	The OEM drive was sticked by the other place.	The fabric was sewed onto the sheets by the guards.	The creatures were scattered all over the dragon world.	The wast was wrapped by Marshall.	The cookies were spread with the yummy almond butter by you.	The floor was spattered with whatever was on the wheel.	Burgers on a flat cast iron pan still splatter the sauce all over here.	The librarian was brushed the ink onto yellow plastic cups.	The waiter drizzle brandy the dish.	The photographer will hang with the picture on the counter.	I sprayed some liquid from the pot.	The fishermen spritz mustard under the potatoes.	Flowers will hang someone on my wall.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA5 PNounB4	NounBPass5 VerbPass PSubj5	NounBPass4 VerbPass PNounA4 PSubj4	NounBPass1 VerbPass PNounA2
77	The rain spurts the place with dirt.	Venom was spattered by somebody.	Onions were spritzed over the potatoes by the villagers.	Fingertips were rubbed on something.	The paper was smudged by the workers.	You were spattered with venom by somebody.	Potatoes were basted with the vinegar.	I strung wires over the fireplace.	I was pumped regular air into the engine.	The author strews the humor the story.	The librarian brushed with the ink over the carpet.	It spurts the green liquid from below.	The workers sewed heavier material under the straps.	The leaves sewed the soldiers onto the boards.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA4 PNounB3	NounBPass4 VerbPass PSubj4	NounBPass3 VerbPass PNounA5 PSubj3	NounBPass2 VerbPass PNounA3
78	Users simply rub the writing marks with the pen.	Some water was sprayed by Katrina.	The contents were sticked in the pipeline by Alex.	Enthusiasm was showered onto people.	The cooktop was splattered by burgers.	The stain was smeared with paint by my child.	The floor was spattered with whatever was on the wheel.	The man smeared paint all over the paper.	The operator was sticked the seeds in the center.	The artist plastered the image the cassettes.	Jack will splash with the juice all over your counter.	Archaeologists clean the filter monthly and swash some tank water from the reservoir.	The artist smeared ink under the walls.	The gas pumped the mechanic into the cooler.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA2 PNounB4	NounBPass3 VerbPass PSubj3	NounBPass2 VerbPass PNounA3 PSubj2	NounBPass1 VerbPass PNounA5
79	Somebody spatters the floor with the poison.	Artwork was plastered by the artist.	Wine was splashed all over your counter by you.	The stuff was sticked in the truck.	The bulb was swabbed by the phyisician.	The atmosphere was seeded with helium by the engineers.	The roof was sewed with the leaves.	The priest strung wires over the fireplace.	I was strung these lights over it.	I clean the filter monthly and swash paint the counter.	The director strews with irony in the film.	The ladies drizzle brandy from France.	The novelist strews satire under figures.	The OEM drive sticks the other place in the fridge.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB5	NounBPass4 VerbPass PSubj4	NounBPass4 VerbPass PNounA4 PSubj4	NounBPass5 VerbPass PNounA2
80	I will hang the ceiling with flowers.	The leather was sewed by the soldiers.	Venom was spattered over the floor by somebody.	Sulfur was seeded into the atmosphere.	Bags were loaded by the customer.	The inside was squirted with butter by contestants.	The bacon was sprinkled with the mustard.	Farmers have to squirt the glue in everything.	He was wrapped it around his neck.	My child smeared mustard the paper.	The operator sticks with the contents in the truck.	Bob just sticks the food for the day.	The technician swab the oil under the bulbs.	The contents showers The narrator onto visitors.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA1 PNounB3	NounBPass5 VerbPass PSubj5	NounBPass4 VerbPass PNounA4 PSubj4	NounBPass1 VerbPass PNounA1
81	He showers visitors with excellent information.	The title was plastered by the band.	Different types of marinades were basted over the meat by us.	The letters were hung on the counter.	The windows were strung by the elves.	Here was splattered with the stuffing by the tomatoes.	The engine was pumped with regular air.	The driver pumped gasoline into the tire.	We were basted different types of marinades over them.	The workers sewed the leaves the sheets.	The band plastered with a big label on the cds.	The librarian brushed the liquid of variable density.	Visitors can can load the food under the box.	The image plastered the producers on the site.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA2 PNounB2	NounBPass1 VerbPass PSubj1	NounBPass4 VerbPass PNounA2 PSubj4	NounBPass2 VerbPass PNounA1
82	The buyer can can load the luggage with clothes.	Sarcasm was strewed by the author.	These lights were strung over the windows by me.	Some water was sprayed into a plastic container.	People were showered by Aristotle.	Bags were loaded with clothes by me.	Cd was plastered with the title.	The author showers the facts onto the students.	Jack was splashed water all over the table.	The blacksmith sewed cloth the carpet.	The students brushed with it onto yellow plastic cups.	The editors smudge grease from cans.	Someone will splash water under the kitchen.	Venom spatters somebody over the pavement.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA3 PNounB5	NounBPass4 VerbPass PSubj4	NounBPass4 VerbPass PNounA3 PSubj4	NounBPass2 VerbPass PNounA5
83	The guards sewed the canvas with the leaves.	Blotches of ink were smudged by them.	Some tank water was swashed over the well by me.	The leather was sewed onto the boards.	They were swashed by the engineers.	The bed was brushed with it by me.	The dirt was smeared with ink.	The inspector swab the liquid over the tissues.	The researchers were seeded carbon into the earth.	The noodles splatter the stuffing the cooktop.	The fishermen spritz with vinegar the soup.	He showers the contents of the manuscript.	Noah pumped steam under the cooler.	Bandages wraps Logan around the box.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA3 PNounB1	NounBPass4 VerbPass PSubj4	NounBPass2 VerbPass PNounA2 PSubj2	NounBPass2 VerbPass PNounA4
84	The waiter drizzle your cup with the Torani caramel sauce.	Acid was swabbed by Mary.	The chemicals were swashed over the sink by the volunteers.	The humor was strewed in the story.	Characters were strewed by the director.	His neck was wrapped with something by Marshall.	They were smudged with suspiscion.	Water spurts the dust all over the place.	The monks were basted the sauce over the vegetables.	The monks sow the vines the fields.	Users can load with packages in the luggage.	Sprinkle the mustard from Dijon.	An evil creature called Gnasty Gnorc scatters gems under the galaxy.	The vines sow the villagers on the ground.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA2 PNounB2	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA3 PSubj1	NounBPass2 VerbPass PNounA4
85	Logan wraps the perimeter with rope.	Water was splashed by Jack.	The grease was splattered all over here by the noodles.	The towel was wrapped around the perimeter.	Your counter was splashed by someone.	It was squirted with the eggs by the farmers.	The ground was sown with salt.	Contestants have to squirt butter in the pot.	You were splashed wine all over the table.	The monks baste the sauce it.	The developers promote a strategy to seed with carbon into the soil.	Claire pumped steam of the heat.	Someone will hang the picture under canvas.	Fingertips rub users on the pages.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj4 verb NounA4 PNounB2	NounBPass4 VerbPass PSubj4	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass2 VerbPass PNounA3
86	The nuns sprinkle soup with sugar.	Carbon was seeded by the researchers.	Wires were strung over the bridge by Moses.	The sauce was spritzed over noodles.	The fridge was sticked by the operator.	The hook was hung with it by me.	It was smeared with ink.	The villagers sow the vines on the earth.	The director was strewed the humor in the film.	The rain spurts the green liquid the room.	The phyisician swab with the soap over the bottle.	You simply rub the pad in the keyboard.	I clean the filter monthly and swash the liquid under the well.	The OEM drive sticks the other place in a box.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA5 PNounB4	NounBPass1 VerbPass PSubj1	NounBPass2 VerbPass PNounA2 PSubj2	NounBPass5 VerbPass PNounA4
87	The nuns sprinkle the bacon with a little hot pepper.	The liquid was swashed by scientists.	Irony was strewed in the story by the Novelist.	Moisture was smeared all over the walls.	The fence was strung by the elves.	It was sown with the grain by the monks.	The fields were sown with the vines.	The elves strung these lights over the bridge.	The tomatoes were splattered the stuffing all over the cooktop.	Flanagan strews satire the story.	The soldiers sewed with heavier material onto the boards.	The farmers like to baste butter of beans.	Farmers sow weeds under the earth.	Flowers will hang someone on the ceiling.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA5 PNounB3	NounBPass5 VerbPass PSubj5	NounBPass1 VerbPass PNounA1 PSubj1	NounBPass4 VerbPass PNounA3
88	The crew sprayed the wall with some of the paint.	The chain was strung by the angels.	Honey was spread all over the dessert by the students.	Enthusiasm was showered onto people.	It was pumped by me.	The truck was sticked with the contents by Alex.	The fridge was sticked with the stuff.	The inspector swab rubbing alcohol over the tray.	The locals were spritzed the sauce over the fish.	Users can load the tools the cart.	The artist sprayed with some water into the wall.	The bartender brushed the ink of the cuttlefish.	Someone will hang the posters under the balcony.	Some of the material sprayed the crew into the sink.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA1 PNounB3	NounBPass1 VerbPass PSubj1	NounBPass3 VerbPass PNounA5 PSubj3	NounBPass2 VerbPass PNounA2
89	The editors smudge the canvas with garbage.	Flowers were hung by someone.	My finger was smeared all over the walls by my child.	Garlic was spritzed over the fish.	The pages were smudged by them.	The site was plastered with the image by the producers.	The center was sticked with the stuff.	Bob just sticks the stuff in the pipeline.	The developers were seeded the product into algae.	I can can load the food the cart.	Some use the rolled up package to spread with the butter all over the dessert.	Grandma will hang paintings of saints.	Sprinkle sugar under the bacon.	The chocolate smeared the machine all over the floor.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj3 verb NounA2 PNounB3	NounBPass4 VerbPass PSubj4	NounBPass1 VerbPass PNounA3 PSubj1	NounBPass1 VerbPass PNounA2
90	Users can load the suitcase with clothes.	Steam was pumped by Claire.	Blotches of ink were smudged on the pages by them.	The liquid was swabbed over the tray.	Vinyl was plastered by the producers.	The wall was sprayed with some of the chemicals by the artist.	They were smeared with paint.	The angels strung these lights over the fireplace.	People were basted butter over them.	Bob just sticks the contents the center.	The buyer can can load with packages in bags.	Christian wraps bandages for wounds.	The monks baste butter under the meat.	Water splash Jack all over the floor.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA5 PNounB1	NounBPass4 VerbPass PSubj4	NounBPass2 VerbPass PNounA4 PSubj2	NounBPass2 VerbPass PNounA4
91	People baste it with different types of marinades.	Regular air was pumped by me.	Sarcasm was smudged on pictures by teachers.	Sarcasm was smudged on pictures.	The stove was splattered by the noodles.	The pillow was brushed with the powder by the students.	It was smudged with sarcasm.	The designers simply rub the pad on something.	The cooks were spritzed mustard over noodles.	The ladies drizzle the syrup filling.	He wraps with it around the waist.	Watson showers the contents of the manuscript.	Marshall wraps it under the body.	The mixture spread the customers all over bread.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj1 verb NounA4 PNounB1	NounBPass3 VerbPass PSubj3	NounBPass2 VerbPass PNounA5 PSubj2	NounBPass3 VerbPass PNounA3
92	Scientists promote a strategy to seed algae with carbon.	Water was splattered by the peppers.	The grain was sown on the ground by the monks.	The image was plastered on the cassettes.	The paper was smudged by the editors.	The mug was swabbed with acid by Mary.	I was wrapped with something.	My child smeared mustard all over the walls.	The volunteers were swashed the chemicals over the well.	The ladies drizzle coffee cream.	The miners have to squirt with butter in here.	The author showers excellent information about history.	Use the rolled up package to spread the eggs under the rice cake.	The contents showers The narrator onto the students.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA1 PNounB5	NounBPass1 VerbPass PSubj1	NounBPass4 VerbPass PNounA5 PSubj4	NounBPass5 VerbPass PNounA5
93	The novelist strews the story with plenty of historical backstory.	Garlic was spritzed by the cooks.	Butter was basted over potatoes by people.	The stench was spurted all over the place.	They were smudged by teachers.	They were brushed with the powder by the students.	The windshield was sprayed with some of the chemicals.	The band plastered logos on the album cover.	Contestants were squirted butter in here.	Noah pumped gasoline the cooler.	The students brushed with mascara over the surface.	The hostess will splash wine from France.	The editors smudge sarcasm under the canvas.	It wraps him around the box.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj2 verb NounA3 PNounB1	NounBPass4 VerbPass PSubj4	NounBPass1 VerbPass PNounA5 PSubj1	NounBPass5 VerbPass PNounA2
94	The hostess will splash the floor with the juice.	Some liquid was sprayed by someone.	Dirt was spattered over the snow by whoever.	The title was plastered on the album cover.	The fridge was sticked by Bob.	The paw prints were smeared with the chocolate by the machine.	The dragon world was scattered with the creature.	The developers simply rub the pad on something.	The soldiers were sewed the leaves onto the boards.	The waiter drizzle the syrup the cake.	I carefully swab with the oil over the tissues.	The phyisician swab acid from the store.	The bartender brushed the ink under yellow plastic cups.	Clothes can load me in the suitcase.	Different types of marinades baste us over the meat.	The meat baste us with different types of marinades.	Different types of marinades baste the meat us.	Correct	CRagentact	CRalternation1	CRalternation2	CRNoEmb	CRLexPrep	CrSSM1	CrSSM2	CrAASSM1	True	False	False	False	False	False	False	False	False	subj5 verb NounA5 PNounB1	NounBPass1 VerbPass PSubj1	NounBPass1 VerbPass PNounA2 PSubj1	NounBPass4 VerbPass PNounA5
